d,n_pow,scew,sigma_total,trans_err,normal_err,c_trans,c_normal
100.0,1.0,1.0,1.0,6.999999999999995,54.6875,1.75,0.13671875
100.0,2.0,1.0,1.0,8.499999999999993,106.25,2.125,0.265625
100.0,1.0,0.01,1.0,4.843749999999999,4.833984375,1.2109375,0.0120849609375
100.0,1.0,0.01,10.0,484.3750000000004,484.375,1.2109375,1.2109375
100.0,1.0,0.01,100.0,48437.50000000001,49600.0,1.2109375,124.0
100.0,1.0,0.01,500.0,1210937.5000000005,1216000.0,1.2109375,3040.0
100.0,1.0,0.1,1.0,4.843750000000001,4.98046875,1.2109375,0.012451171875
100.0,1.0,0.1,10.0,484.37499999999994,493.75,1.2109375,1.234375
100.0,1.0,0.1,100.0,48437.50000000001,49200.0,1.2109375,123.0
100.0,1.0,0.1,500.0,1210937.5,1024000.0,1.2109375,2560.0
100.0,1.0,1.0,10.0,699.9999999999995,5200.0,1.75,13.0
100.0,1.0,1.0,100.0,70000.0,524800.0,1.75,1312.0
100.0,1.0,1.0,500.0,1749999.999999999,13516800.0,1.75,33792.0
100.0,1.0,10.0,1.0,9.999999999999993,1000.0,2.5,2.5
100.0,1.0,10.0,10.0,1000.0000000000001,108800.0,2.5,272.0
100.0,1.0,10.0,100.0,100000.00000000006,10649600.0,2.5,26624.0
100.0,1.0,10.0,500.0,2499999.9999999986,275251200.0,2.5,688128.0
100.0,2.0,0.01,1.0,5.249999999999999,5.859375,1.3125,0.0146484375
100.0,2.0,0.01,10.0,525.0000000000005,525.0,1.3125,1.3125
100.0,2.0,0.01,100.0,52500.00000000001,54600.0,1.3125,136.5
100.0,2.0,0.01,500.0,1312500.0000000007,1363200.0,1.3125,3408.0
100.0,2.0,0.1,1.0,5.250000000000001,5.615234375,1.3125,0.0140380859375
100.0,2.0,0.1,10.0,524.9999999999999,559.375,1.3125,1.3984375
100.0,2.0,0.1,100.0,52500.00000000001,55200.0,1.3125,138.0
100.0,2.0,0.1,500.0,1312500.0,1388800.0,1.3125,3472.0
100.0,2.0,1.0,10.0,849.9999999999994,10400.0,2.125,26.0
100.0,2.0,1.0,100.0,85000.0,1075200.0,2.125,2688.0
100.0,2.0,1.0,500.0,2124999.999999999,27033600.0,2.125,67584.0
100.0,2.0,10.0,1.0,27.49999999999998,2750.0,6.875,6.875
100.0,2.0,10.0,10.0,2750.0000000000005,275200.0,6.875,688.0
100.0,2.0,10.0,100.0,275000.0000000002,27443200.0,6.875,68608.0
100.0,2.0,10.0,500.0,6874999.999999996,655360000.0,6.875,1638400.0
100.0,3.0,0.01,1.0,4.999999999999999,5.99365234375,1.25,0.014984130859375
100.0,3.0,0.01,10.0,500.00000000000045,500.0,1.25,1.25
100.0,3.0,0.01,100.0,50000.00000000001,59600.0,1.25,149.0
100.0,3.0,0.01,500.0,1250000.0000000005,1491200.0,1.25,3728.0
100.0,3.0,0.1,1.0,5.000000000000001,6.1279296875,1.25,0.01531982421875
100.0,3.0,0.1,10.0,499.99999999999994,606.25,1.25,1.515625
100.0,3.0,0.1,100.0,50000.00000000001,61000.0,1.25,152.5
100.0,3.0,0.1,500.0,1250000.0,1526400.0,1.25,3816.0
100.0,3.0,1.0,1.0,9.999999999999993,171.875,2.5,0.4296875
100.0,3.0,1.0,10.0,999.9999999999993,17000.0,2.5,42.5
100.0,3.0,1.0,100.0,100000.0,1689600.0,2.5,4224.0
100.0,3.0,1.0,500.0,2499999.999999999,44236800.0,2.5,110592.0
100.0,3.0,10.0,1.0,41.999999999999964,4200.0,10.5,10.5
100.0,3.0,10.0,10.0,4200.000000000001,448000.0,10.5,1120.0
100.0,3.0,10.0,100.0,420000.00000000023,42662400.0,10.5,106656.0
100.0,3.0,10.0,500.0,10499999.999999994,1104646400.0,10.5,2761616.0
100.0,4.0,0.01,1.0,6.453124999999999,6.54296875,1.61328125,0.016357421875
100.0,4.0,0.01,10.0,645.3125000000006,645.3125,1.61328125,1.61328125
100.0,4.0,0.01,100.0,64531.250000000015,64600.0,1.61328125,161.5
100.0,4.0,0.01,500.0,1613281.2500000007,1625600.0,1.61328125,4064.0
100.0,4.0,0.1,1.0,6.484375000000002,6.4453125,1.62109375,0.01611328125
100.0,4.0,0.1,10.0,648.4374999999999,656.25,1.62109375,1.640625
100.0,4.0,0.1,100.0,64843.750000000015,66000.0,1.62109375,165.0
100.0,4.0,0.1,500.0,1621093.75,1657600.0,1.62109375,4144.0
100.0,4.0,1.0,1.0,15.124999999999988,231.25,3.78125,0.578125
100.0,4.0,1.0,10.0,1512.4999999999989,23800.0,3.78125,59.5
100.0,4.0,1.0,100.0,151250.0,2406400.0,3.78125,6016.0
100.0,4.0,1.0,500.0,3781249.999999998,62259200.0,3.78125,155648.0
100.0,4.0,10.0,1.0,61.99999999999995,6200.0,15.5,15.5
100.0,4.0,10.0,10.0,6200.000000000001,607500.0,15.5,1518.75
100.0,4.0,10.0,100.0,620000.0000000003,61783800.0,15.5,154459.5
